case_number,date_filed,time_filed,crime_type_code,description,case_status,district_name,police_station,location_name,location_lat,location_lng,investigating_officer,year_filed,month_filed,hour_of_crime
KAR/BEL/2024/0001,2025-01-28,20:02:00,burglary,"Reported incident of burglary at Near Halder Chowk, Belagavi.",open,Belagavi,Belagavi Traffic PS,"Near Halder Chowk, Belagavi",15.8683,74.4921,Insp. Girik Bumb,2025,1,20
KAR/SHI/2024/0002,2025-01-10,02:46:00,burglary,"Reported incident of burglary at Near Thakkar Ganj, Shivamogga.",open,Shivamogga,Shivamogga Traffic PS,"Near Thakkar Ganj, Shivamogga",13.9733,75.6093,Insp. Tanmayi Zacharia,2025,1,2
KAR/BEN/2024/0003,2024-10-17,09:31:00,fraud,"Reported incident of fraud at Near Misra Street, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban West PS,"Near Misra Street, Bengaluru Urban",12.925,77.5491,Insp. Balvan Ramanathan,2024,10,9
KAR/MAN/2024/0004,2024-11-13,16:43:00,burglary,"Reported incident of burglary at Near Shenoy Street, Mangaluru (Dakshina Kannada).",open,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Rural PS,"Near Shenoy Street, Mangaluru (Dakshina Kannada)",12.8996,74.8014,Insp. Oscar Singh,2024,11,16
KAR/BEN/2024/0005,2024-04-05,07:58:00,cybercrime,"Reported incident of cybercrime at Near Pandey Circle, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Central PS,"Near Pandey Circle, Bengaluru Urban",12.9013,77.5996,Insp. Ayaan Lanka,2024,4,7
KAR/KOL/2024/0006,2024-03-16,12:48:00,fraud,"Reported incident of fraud at Near Grewal Road, Kolar.",open,Kolar,Kolar Rural PS,"Near Grewal Road, Kolar",13.2015,78.0588,Insp. Kevin Thakur,2024,3,12
KAR/MYS/2024/0007,2025-05-15,05:37:00,burglary,"Reported incident of burglary at Near Ghose Nagar, Mysuru.",closed,Mysuru,Mysuru South PS,"Near Ghose Nagar, Mysuru",12.2575,76.629,Insp. Advaith More,2025,5,5
KAR/TUM/2024/0008,2024-05-09,22:39:00,senior_citizen_crime,"Reported incident of senior citizen crime at Near Mannan Zila, Tumakuru.",under_investigation,Tumakuru,Tumakuru Traffic PS,"Near Mannan Zila, Tumakuru",13.3162,77.0657,Insp. Henry Khatri,2024,5,22
KAR/MYS/2024/0009,2024-05-27,04:12:00,fraud,"Reported incident of fraud at Near Kulkarni Circle, Mysuru.",under_investigation,Mysuru,Mysuru Traffic PS,"Near Kulkarni Circle, Mysuru",12.3509,76.5657,Insp. Tanmayi Vala,2024,5,4
KAR/MAN/2024/0010,2024-12-15,17:27:00,vehicle_theft,"Reported incident of vehicle theft at Near Contractor Street, Mangaluru (Dakshina Kannada). Suspect vehicle noticed with plate KA-22-M-8430.",open,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Traffic PS,"Near Contractor Street, Mangaluru (Dakshina Kannada)",12.9227,74.913,Insp. Yasti Sethi,2024,12,17
KAR/BEN/2024/0011,2024-12-07,09:30:00,vehicle_theft,"Reported incident of vehicle theft at Near Mangal Nagar, Bengaluru Urban. Suspect vehicle noticed with plate KA-01-A-3562.",closed,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Mangal Nagar, Bengaluru Urban",12.9577,77.6417,Insp. Vihaan Chauhan,2024,12,9
KAR/BAL/2024/0012,2024-03-15,16:55:00,robbery,"Reported incident of robbery at Near Mistry Nagar, Ballari. Suspect vehicle noticed with plate KA-10-A-7762.",open,Ballari,Ballari Industrial PS,"Near Mistry Nagar, Ballari",15.1493,76.9071,Insp. Yachana Pant,2024,3,16
KAR/MAN/2024/0013,2024-10-01,02:02:00,robbery,"Reported incident of robbery at Near Sastry Street, Mandya. Suspect vehicle noticed with plate KA-27-N-4433.",chargesheeted,Mandya,Mandya Rural PS,"Near Sastry Street, Mandya",12.5566,76.9685,Insp. Janaki Choudhry,2024,10,2
KAR/VIJ/2024/0014,2024-11-16,20:59:00,burglary,"Reported incident of burglary at Near Narang Street, Vijayapura.",open,Vijayapura,Vijayapura Rural PS,"Near Narang Street, Vijayapura",16.8543,75.6636,Insp. Mugdha Shenoy,2024,11,20
KAR/BEN/2024/0015,2024-08-26,17:24:00,cybercrime,"Reported incident of cybercrime at Near Babu Path, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban South PS,"Near Babu Path, Bengaluru Urban",12.9763,77.5105,Insp. Ria Dhaliwal,2024,8,17
KAR/BAL/2024/0016,2025-02-12,00:42:00,senior_citizen_crime,"Reported incident of senior citizen crime at Near Seshadri Marg, Ballari.",under_investigation,Ballari,Ballari Town PS,"Near Seshadri Marg, Ballari",15.14,77.0145,Insp. Shaurya Krishna,2025,2,0
KAR/DAV/2024/0017,2024-10-14,06:20:00,drug_offence,"Reported incident of drug offence at Near Deep Marg, Davangere.",under_investigation,Davangere,Davangere Market PS,"Near Deep Marg, Davangere",14.4126,75.8191,Insp. Gaurang Kar,2024,10,6
KAR/RAI/2024/0018,2024-05-16,16:46:00,murder,"Reported incident of murder at Near Dora Path, Raichur.",open,Raichur,Raichur Suburban PS,"Near Dora Path, Raichur",16.2879,77.3259,Insp. Kamala Sankaran,2024,5,16
KAR/KAL/2024/0019,2024-10-25,14:30:00,hit_and_run,"Reported incident of hit and run at Near Desai Circle, Kalaburagi.",open,Kalaburagi,Kalaburagi Market PS,"Near Desai Circle, Kalaburagi",17.3356,76.8691,Insp. Mahika Kari,2024,10,14
KAR/HAS/2024/0020,2024-11-27,14:05:00,fraud,"Reported incident of fraud at Near Chowdhury Zila, Hassan.",under_investigation,Hassan,Hassan Industrial PS,"Near Chowdhury Zila, Hassan",13.0065,76.0804,Insp. Ekanta Nadkarni,2024,11,14
KAR/BEN/2024/0021,2025-04-26,20:52:00,assault,"Reported incident of assault at Near Batta Zila, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban East PS,"Near Batta Zila, Bengaluru Urban",13.0313,77.5924,Insp. Edhitha Grewal,2025,4,20
KAR/HUB/2024/0022,2024-10-02,16:37:00,fraud,"Reported incident of fraud at Near Balasubramanian Chowk, Hubballi-Dharwad.",open,Hubballi-Dharwad,Hubballi-Dharwad Industrial PS,"Near Balasubramanian Chowk, Hubballi-Dharwad",15.3976,75.0393,Insp. Tejas Chaudhry,2024,10,16
KAR/BEN/2024/0023,2024-12-10,11:59:00,cybercrime,"Reported incident of cybercrime at Near Raja Chowk, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Raja Chowk, Bengaluru Urban",12.9441,77.5948,Insp. Yatan Naik,2024,12,11
KAR/BEN/2024/0024,2024-12-14,13:20:00,chain_snatching,"Reported incident of chain snatching at Near Parmar Path, Bengaluru Urban. Suspect vehicle noticed with plate KA-50-P-4479.",chargesheeted,Bengaluru Urban,Bengaluru Urban East PS,"Near Parmar Path, Bengaluru Urban",13.0355,77.602,Insp. Amaira Gupta,2024,12,13
KAR/KAL/2024/0025,2024-07-10,03:44:00,robbery,"Reported incident of robbery at Near Guha Path, Kalaburagi. Suspect vehicle noticed with plate KA-30-M-8291.",open,Kalaburagi,Kalaburagi Town PS,"Near Guha Path, Kalaburagi",17.2343,76.8468,Insp. Aachal Chhabra,2024,7,3
KAR/BEN/2024/0026,2024-12-09,13:50:00,fraud,"Reported incident of fraud at Near Keer Road, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Keer Road, Bengaluru Urban",12.9664,77.6419,Insp. Baljiwan Contractor,2024,12,13
KAR/MAN/2024/0027,2024-05-22,16:07:00,domestic_violence,"Reported incident of domestic violence at Near Aggarwal Ganj, Mangaluru (Dakshina Kannada).",under_investigation,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Town PS,"Near Aggarwal Ganj, Mangaluru (Dakshina Kannada)",12.9346,74.914,Insp. Pranit Parmar,2024,5,16
KAR/BEL/2024/0028,2024-02-07,23:17:00,property_crime,"Reported incident of property crime at Near Jayaraman Nagar, Belagavi.",open,Belagavi,Belagavi Suburban PS,"Near Jayaraman Nagar, Belagavi",15.8468,74.4723,Insp. Yug Sarin,2024,2,23
KAR/BEL/2024/0029,2024-02-27,20:30:00,kidnapping,"Reported incident of kidnapping at Near Sura Road, Belagavi.",chargesheeted,Belagavi,Belagavi Market PS,"Near Sura Road, Belagavi",15.7533,74.4791,Insp. Anusha Sankar,2024,2,20
KAR/HAS/2024/0030,2024-06-13,02:25:00,fraud,"Reported incident of fraud at Near Krishnan Marg, Hassan.",open,Hassan,Hassan Suburban PS,"Near Krishnan Marg, Hassan",13.0436,76.099,Insp. Vansha Panchal,2024,6,2
KAR/HAS/2024/0031,2024-11-21,16:49:00,vehicle_theft,"Reported incident of vehicle theft at Near Swaminathan Zila, Hassan. Suspect vehicle noticed with plate KA-50-P-2785.",open,Hassan,Hassan Suburban PS,"Near Swaminathan Zila, Hassan",13.0435,76.0958,Insp. Kevin Parekh,2024,11,16
KAR/KOL/2024/0032,2024-12-02,18:34:00,fraud,"Reported incident of fraud at Near Pall Path, Kolar.",open,Kolar,Kolar Rural PS,"Near Pall Path, Kolar",13.1791,78.071,Insp. Quincy Vig,2024,12,18
KAR/BEN/2024/0033,2025-02-02,12:21:00,cybercrime,"Reported incident of cybercrime at Near Bhat Marg, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Central PS,"Near Bhat Marg, Bengaluru Urban",12.945,77.5876,Insp. Anya Kamdar,2025,2,12
KAR/BEN/2024/0034,2024-11-17,22:40:00,vehicle_theft,"Reported incident of vehicle theft at Near Tailor Nagar, Bengaluru Urban. Suspect vehicle noticed with plate KA-31-KB-2491.",open,Bengaluru Urban,Bengaluru Urban Central PS,"Near Tailor Nagar, Bengaluru Urban",12.9254,77.569,Insp. Nidra Kadakia,2024,11,22
KAR/KOL/2024/0035,2024-03-18,20:53:00,vehicle_theft,"Reported incident of vehicle theft at Near Memon Marg, Kolar. Suspect vehicle noticed with plate KA-36-P-8942.",open,Kolar,Kolar Market PS,"Near Memon Marg, Kolar",13.2376,78.2174,Insp. Dayamai Dalal,2024,3,20
KAR/BEN/2024/0036,2024-01-21,03:48:00,cybercrime,"Reported incident of cybercrime at Near Reddy Nagar, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Reddy Nagar, Bengaluru Urban",12.9678,77.6853,Insp. Yamini Sen,2024,1,3
KAR/BEN/2024/0037,2025-04-13,20:57:00,senior_citizen_crime,"Reported incident of senior citizen crime at Near Kalita Chowk, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Central PS,"Near Kalita Chowk, Bengaluru Urban",12.8984,77.5722,Insp. Faqid Mann,2025,4,20
KAR/BEN/2024/0038,2024-09-24,09:54:00,eve_teasing,"Reported incident of eve teasing at Near Memon Chowk, Bengaluru Urban.",chargesheeted,Bengaluru Urban,Bengaluru Urban North PS,"Near Memon Chowk, Bengaluru Urban",12.9386,77.6199,Insp. Qasim Soni,2024,9,9
KAR/BEN/2024/0039,2024-08-28,15:22:00,cybercrime,"Reported incident of cybercrime at Near Sehgal Path, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban South PS,"Near Sehgal Path, Bengaluru Urban",12.9918,77.497,Insp. Samar Tak,2024,8,15
KAR/HAS/2024/0040,2024-06-07,11:40:00,senior_citizen_crime,"Reported incident of senior citizen crime at Near Saraf Chowk, Hassan.",open,Hassan,Hassan Suburban PS,"Near Saraf Chowk, Hassan",13.093,76.1065,Insp. Arunima Bhat,2024,6,11
KAR/SHI/2024/0041,2024-06-23,14:46:00,eve_teasing,"Reported incident of eve teasing at Near Mannan Circle, Shivamogga.",closed,Shivamogga,Shivamogga Suburban PS,"Near Mannan Circle, Shivamogga",13.964,75.5939,Insp. Mahika Savant,2024,6,14
KAR/KAL/2024/0042,2024-11-05,12:42:00,hit_and_run,"Reported incident of hit and run at Near Wable Zila, Kalaburagi.",open,Kalaburagi,Kalaburagi Town PS,"Near Wable Zila, Kalaburagi",17.2445,76.8277,Insp. Aachal Gupta,2024,11,12
KAR/BEN/2024/0043,2024-04-28,10:57:00,eve_teasing,"Reported incident of eve teasing at Near Agrawal Street, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban West PS,"Near Agrawal Street, Bengaluru Urban",12.9315,77.5325,Insp. Pooja Uppal,2024,4,10
KAR/MAN/2024/0044,2024-03-14,21:02:00,burglary,"Reported incident of burglary at Near Rai Path, Mandya.",under_investigation,Mandya,Mandya Rural PS,"Near Rai Path, Mandya",12.5235,76.9653,Insp. Ganga Apte,2024,3,21
KAR/BEN/2024/0045,2025-01-11,23:05:00,cybercrime,"Reported incident of cybercrime at Near Puri Marg, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Puri Marg, Bengaluru Urban",12.9806,77.6291,Insp. Christopher Kota,2025,1,23
KAR/TUM/2024/0046,2024-11-10,11:11:00,property_crime,"Reported incident of property crime at Near Jha Chowk, Tumakuru.",open,Tumakuru,Tumakuru Rural PS,"Near Jha Chowk, Tumakuru",13.3059,77.0742,Insp. Divya Walia,2024,11,11
KAR/KAL/2024/0047,2024-05-07,09:46:00,domestic_violence,"Reported incident of domestic violence at Near Jain Ganj, Kalaburagi.",open,Kalaburagi,Kalaburagi Traffic PS,"Near Jain Ganj, Kalaburagi",17.2951,76.7992,Insp. Benjamin Anand,2024,5,9
KAR/BEN/2024/0048,2024-08-21,09:19:00,assault,"Reported incident of assault at Near Balay Circle, Bengaluru Urban.",chargesheeted,Bengaluru Urban,Bengaluru Urban West PS,"Near Balay Circle, Bengaluru Urban",12.8854,77.5665,Insp. Darpan Jayaraman,2024,8,9
KAR/UDU/2024/0049,2024-12-28,20:27:00,vehicle_theft,"Reported incident of vehicle theft at Near Sachdeva Street, Udupi. Suspect vehicle noticed with plate KA-49-B-3882.",chargesheeted,Udupi,Udupi Suburban PS,"Near Sachdeva Street, Udupi",13.3584,74.773,Insp. Anusha Barad,2024,12,20
KAR/BEN/2024/0050,2024-06-25,06:45:00,chain_snatching,"Reported incident of chain snatching at Near Mody Marg, Bengaluru Urban. Suspect vehicle noticed with plate KA-35-A-9259.",under_investigation,Bengaluru Urban,Bengaluru Urban East PS,"Near Mody Marg, Bengaluru Urban",13.0573,77.6225,Insp. Ati Kara,2024,6,6
KAR/HAS/2024/0051,2024-04-19,17:01:00,robbery,"Reported incident of robbery at Near Modi Marg, Hassan. Suspect vehicle noticed with plate KA-19-B-7747.",chargesheeted,Hassan,Hassan Traffic PS,"Near Modi Marg, Hassan",12.9049,76.0389,Insp. Yoshita Seshadri,2024,4,17
KAR/BEN/2024/0052,2025-05-20,12:43:00,robbery,"Reported incident of robbery at Near Murthy Marg, Bengaluru Urban. Suspect vehicle noticed with plate KA-52-KA-6844.",under_investigation,Bengaluru Urban,Bengaluru Urban Central PS,"Near Murthy Marg, Bengaluru Urban",12.9418,77.5501,Insp. Krishna Goyal,2025,5,12
KAR/HAS/2024/0053,2024-01-18,16:10:00,assault,"Reported incident of assault at Near Ben Street, Hassan.",under_investigation,Hassan,Hassan Industrial PS,"Near Ben Street, Hassan",13.0324,76.0956,Insp. Chaman Bhardwaj,2024,1,16
KAR/HAS/2024/0054,2024-08-01,11:17:00,robbery,"Reported incident of robbery at Near Dass Street, Hassan. Suspect vehicle noticed with plate KA-53-P-6200.",under_investigation,Hassan,Hassan Town PS,"Near Dass Street, Hassan",13.0219,76.0234,Insp. Akshay Pathak,2024,8,11
KAR/MYS/2024/0055,2024-07-07,02:40:00,vehicle_theft,"Reported incident of vehicle theft at Near Bhandari Chowk, Mysuru. Suspect vehicle noticed with plate KA-12-M-2433.",open,Mysuru,Mysuru Central PS,"Near Bhandari Chowk, Mysuru",12.246,76.6849,Insp. Nilima Dyal,2024,7,2
KAR/UDU/2024/0056,2024-12-24,08:08:00,assault,"Reported incident of assault at Near Vyas Circle, Udupi.",open,Udupi,Udupi Rural PS,"Near Vyas Circle, Udupi",13.3555,74.769,Insp. Tara Gade,2024,12,8
KAR/BEN/2024/0057,2024-11-29,05:51:00,fraud,"Reported incident of fraud at Near Padmanabhan Zila, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Central PS,"Near Padmanabhan Zila, Bengaluru Urban",12.9296,77.5693,Insp. Vrishti Lala,2024,11,5
